19995,Avatar,"[65731, 8691, 10205, 32747, 17647, 1771, 59231, 30485, 15853, 10964, 95697, 98215, 154153, 397312, 42317, 986734, 1207227, 1180936, 1019578, 91443, 173391, 1207236, 215913, 143206, 169676, 1048610, 42288, 68278, 1207247, 1207248, 89714, 1207249, 1207250, 83105, 1207253, 1207251, 1207252, 1207254, 1207257, 1207259, 1207262, 1158600, 983705, 1207263, 1145098, 33305, 1207264, 33311, 1207265, 1207266, 54492, 1207267, 1207268, 1207269, 1207270, 1207271, 1207272, 1207273, 1207274, 1207275, 1207276, 107969, 1207278, 147898, 1207280, 1207281, 1207282, 1207283, 98216, 1201399, 236696, 1207287, 1207288, 1207289, 584868, 1207290, 1062463, 60656, 1207291, 1186027, 1207292, 103259, 42286]","[65731, 8691, 10205, 32747, 17647, 1771, 59231, 30485, 15853, 10964, 95697, 98215, 154153, 397312, 42317, 986734, 1207227, 1180936, 1019578, 91443, 173391, 1207236, 215913, 143206, 169676, 1048610, 42288, 68278, 1207247, 1207248, 89714, 1207249, 1207250, 83105, 1207253, 1207251, 1207252, 1207254, 1207257, 1207259, 1207262, 1158600, 983705, 1207263, 1145098, 33305, 1207264, 33311, 1207265, 1207266, 54492, 1207267, 1207268, 1207269, 1207270, 1207271, 1207272, 1207273, 1207274, 1207275, 1207276, 107969, 1207278, 147898, 1207280, 1207281, 1207282, 1207283, 98216, 1201399, 236696, 1207287, 1207288, 1207289, 584868, 1207290, 1062463, 60656, 1207291, 1186027, 1207292, 103259, 42286]"
285,Pirates of the Caribbean: At World's End,"[85, 114, 116, 1640, 1619, 2440, 118, 1709, 2449, 2441, 2038, 378, 1430, 1710, 1711, 4031, 1715, 4030, 939, 2450, 2452, 1714, 1713, 22075, 61259, 33500, 1224149, 429401, 1123, 1056117, 21700, 1430, 2603, 70577]","[85, 114, 116, 1640, 1619, 2440, 118, 1709, 2449, 2441, 2038, 378, 1430, 1710, 1711, 4031, 1715, 4030, 939, 2450, 2452, 1714, 1713, 22075, 61259, 33500, 1224149, 429401, 1123, 1056117, 21700, 1430, 2603, 70577]"
206647,Spectre,"[8784, 27319, 121529, 5469, 28782, 17064, 2038, 543530, 125660, 139549, 2244, 1381616, 929937, 87265, 983710, 1385592, 1545546, 1545547, 122556, 1599239, 1599241, 230681, 30446, 48377, 578512, 1093974, 89624, 1129783, 226388, 1299312, 124628, 1562103, 1474616, 1247684, 1599245, 1599247, 1599251, 1599252, 1599253, 123548, 1599254, 1599255, 1404403, 74415, 1599256, 1599257, 1599258, 1599259, 1599260, 1477143, 1599261, 1168129, 48393, 1437333, 1599262, 14637, 1599263, 1599264, 1599265, 1599266, 1599267, 1599268, 1599269, 1599270, 1599271, 1599272, 1102369, 1372694, 1363060, 1599275, 1599276, 1599277, 229320, 1599278, 1599279, 1436816, 1599280, 5309, 1186597, 1654739, 1682535, 1682536, 1725801]","[8784, 27319, 121529, 5469, 28782, 17064, 2038, 543530, 125660, 139549, 2244, 1381616, 929937, 87265, 983710, 1385592, 1545546, 1545547, 122556, 1599239, 1599241, 230681, 30446, 48377, 578512, 1093974, 89624, 1129783, 226388, 1299312, 124628, 1562103, 1474616, 1247684, 1599245, 1599247, 1599251, 1599252, 1599253, 123548, 1599254, 1599255, 1404403, 74415, 1599256, 1599257, 1599258, 1599259, 1599260, 1477143, 1599261, 1168129, 48393, 1437333, 1599262, 14637, 1599263, 1599264, 1599265, 1599266, 1599267, 1599268, 1599269, 1599270, 1599271, 1599272, 1102369, 1372694, 1363060, 1599275, 1599276, 1599277, 229320, 1599278, 1599279, 1436816, 1599280, 5309, 1186597, 1654739, 1682535, 1682536, 1725801]"
49026,The Dark Knight Rises,"[3894, 3895, 64, 1813, 2524, 8293, 24045, 192, 2037, 36594, 3896, 8654, 16607, 77335, 21316, 928532, 71010, 125025, 211521, 10582, 224365, 1334307, 1334308, 1334309, 1172491, 49735, 39659, 16841, 22075, 159879, 8191, 1240417, 1218818, 84754, 1473276, 1364324, 1473749, 539, 158484, 10689, 9632, 1205900, 1403768, 1465242, 141014, 32363, 21182, 83271, 535, 1226016, 15011, 70225, 24627, 142290, 1377686, 550549, 21505, 98804, 1386824, 31362, 145313, 53252, 24202, 1301187, 204191, 40039, 21416, 55411, 1244314, 1286878, 6365, 1417415, 941, 1225911, 100891, 20469, 105832, 1355615, 51930, 95577, 1010873, 26088, 853194, 171606, 1406682, 1167718, 572221, 1116933, 1524158, 139188, 1075845, 1283949, 1344943, 1240191, 1359461, 1163300, 93752, 1343309, 1372419, 1502323, 1509064, 1525392, 1365976, 1098036, 1354413, 123875, 127060, 1388256, 1241239, 1378466, 1264686, 1169299, 1269611, 1446471, 1188950, 1383091, 1480128, 1174970, 127063, 1480130, 1505308, 1509148, 122339, 93778, 1205749, 1480150, 20582, 1298014, 1429650, 1349600, 1066138, 565508, 1513716, 1215314, 1452954, 1451618, 1085730, 557202, 54211, 1480223, 102516, 1205751, 1205623, 1521872, 306870, 1205141, 1343746, 1454322, 1553053, 1553307, 1553377, 1574936, 1576421, 1580574, 1583389, 1633514, 1673036, 1536670]","[3894, 3895, 64, 1813, 2524, 8293, 24045, 192, 2037, 36594, 3896, 8654, 16607, 77335, 21316, 928532, 71010, 125025, 211521, 10582, 224365, 1334307, 1334308, 1334309, 1172491, 49735, 39659, 16841, 22075, 159879, 8191, 1240417, 1218818, 84754, 1473276, 1364324, 1473749, 539, 158484, 10689, 9632, 1205900, 1403768, 1465242, 141014, 32363, 21182, 83271, 535, 1226016, 15011, 70225, 24627, 142290, 1377686, 550549, 21505, 98804, 1386824, 31362, 145313, 53252, 24202, 1301187, 204191, 40039, 21416, 55411, 1244314, 1286878, 6365, 1417415, 941, 1225911, 100891, 20469, 105832, 1355615, 51930, 95577, 1010873, 26088, 853194, 171606, 1406682, 1167718, 572221, 1116933, 1524158, 139188, 1075845, 1283949, 1344943, 1240191, 1359461, 1163300, 93752, 1343309, 1372419, 1502323, 1509064, 1525392, 1365976, 1098036, 1354413, 123875, 127060, 1388256, 1241239, 1378466, 1264686, 1169299, 1269611, 1446471, 1188950, 1383091, 1480128, 1174970, 127063, 1480130, 1505308, 1509148, 122339, 93778, 1205749, 1480150, 20582, 1298014, 1429650, 1349600, 1066138, 565508, 1513716, 1215314, 1452954, 1451618, 1085730, 557202, 54211, 1480223, 102516, 1205751, 1205623, 1521872, 306870, 1205141, 1343746, 1454322, 1553053, 1553307, 1553377, 1574936, 1576421, 1580574, 1583389, 1633514, 1673036, 1536670]"
49529,John Carter,"[60900, 21044, 2206, 5293, 19159, 2983, 8785, 17287, 17648, 17419, 6416, 57675, 89830, 205278, 218345, 1390394, 1518112, 1721985, 1721992, 118617, 1722006, 130129, 65716, 1724736, 62082, 1367241, 1844319]","[60900, 21044, 2206, 5293, 19159, 2983, 8785, 17287, 17648, 17419, 6416, 57675, 89830, 205278, 218345, 1390394, 1518112, 1721985, 1721992, 118617, 1722006, 130129, 65716, 1724736, 62082, 1367241, 1844319]"
559,Spider-Man 3,"[2219, 205, 17051, 19159, 17052, 18997, 18998, 2505, 18999, 9207, 19152, 5502, 9281, 11769, 6585, 5293, 19153, 2368, 20645, 20582, 20580, 7624, 11357, 19155, 7628, 19154, 19326, 59206, 78311, 116627, 113608, 99932, 552526, 1226471, 159456, 105701, 66653, 1451076, 11766, 1781288, 1739821, 1735986, 1781297, 1435965, 1781298, 233298, 60490, 175606, 1656631, 173163, 1781299, 1781300, 1781301, 1781302, 53257, 92486, 52946, 1781303, 98396, 558055, 1781304, 1781307, 193946, 1446719, 1781308, 1781309, 1781310, 1781311, 1653331, 1781312, 111243, 1781313, 1781194, 1781318, 454223, 232042, 1496942, 1209717, 1781325, 1509622, 1610271, 1781326, 1781199, 1781205, 1781217, 1781327, 1636759, 1781328, 1781329, 1781330, 1639432, 1781331, 1781332, 1316667, 105632, 1781333, 1292243, 1781334, 1752230, 1781221, 570374, 1246221, 1781344, 1781345, 1781346, 1781347, 163930, 1781348, 1697017, 1781349, 1480150, 1178562, 1344665, 118389, 1781350, 1781351, 60127, 1781352, 1422991, 106147, 1691382, 1781353, 1367833, 1781354, 1781355, 1781356, 1340943, 211964, 1781358, 1778304, 1781359, 1781360, 1454306, 1781361, 1781362, 1781365, 1614425, 567242, 1781366, 1781368, 1225878, 1781371, 1368459]","[2219, 205, 17051, 19159, 17052, 18997, 18998, 2505, 18999, 9207, 19152, 5502, 9281, 11769, 6585, 5293, 19153, 2368, 20645, 20582, 20580, 7624, 11357, 19155, 7628, 19154, 19326, 59206, 78311, 116627, 113608, 99932, 552526, 1226471, 159456, 105701, 66653, 1451076, 11766, 1781288, 1739821, 1735986, 1781297, 1435965, 1781298, 233298, 60490, 175606, 1656631, 173163, 1781299, 1781300, 1781301, 1781302, 53257, 92486, 52946, 1781303, 98396, 558055, 1781304, 1781307, 193946, 1446719, 1781308, 1781309, 1781310, 1781311, 1653331, 1781312, 111243, 1781313, 1781194, 1781318, 454223, 232042, 1496942, 1209717, 1781325, 1509622, 1610271, 1781326, 1781199, 1781205, 1781217, 1781327, 1636759, 1781328, 1781329, 1781330, 1639432, 1781331, 1781332, 1316667, 105632, 1781333, 1292243, 1781334, 1752230, 1781221, 570374, 1246221, 1781344, 1781345, 1781346, 1781347, 163930, 1781348, 1697017, 1781349, 1480150, 1178562, 1344665, 118389, 1781350, 1781351, 60127, 1781352, 1422991, 106147, 1691382, 1781353, 1367833, 1781354, 1781355, 1781356, 1340943, 211964, 1781358, 1778304, 1781359, 1781360, 1454306, 1781361, 1781362, 1781365, 1614425, 567242, 1781366, 1781368, 1225878, 1781371, 1368459]"
38757,Tangled,"[69899, 16855, 2517, 2372, 22132, 4175, 18, 1219029, 10460, 1273208, 121830, 76595, 61958]","[69899, 16855, 2517, 2372, 22132, 4175, 18, 1219029, 10460, 1273208, 121830, 76595, 61958]"
99861,Avengers: Age of Ultron,"[3223, 74568, 103, 16828, 1245, 17604, 13548, 2231, 1896, 27428, 550843, 6162, 71189, 53650, 39459, 17605, 1817, 1640, 1401531, 3491, 1333, 1146, 7624, 7030, 1709130, 1265796, 1196961, 1264233, 1760858, 1760859, 1760860, 1504934, 30086, 1029031, 1171654, 1367843, 1760872, 1760864, 1760865, 1760866, 1760867, 1760868, 1760869, 1665609, 1760871, 1760879, 1405571, 1405570, 1583054, 1760881, 1760882, 1760884, 1590327, 1760886, 1760888, 1760890, 1756778, 1760891, 1760892, 1760893, 6092, 1760898, 1760899, 1015829, 43373, 62105, 1760900, 1394333, 16851, 1480144, 1429470, 1371439]","[3223, 74568, 103, 16828, 1245, 17604, 13548, 2231, 1896, 27428, 550843, 6162, 71189, 53650, 39459, 17605, 1817, 1640, 1401531, 3491, 1333, 1146, 7624, 7030, 1709130, 1265796, 1196961, 1264233, 1760858, 1760859, 1760860, 1504934, 30086, 1029031, 1171654, 1367843, 1760872, 1760864, 1760865, 1760866, 1760867, 1760868, 1760869, 1665609, 1760871, 1760879, 1405571, 1405570, 1583054, 1760881, 1760882, 1760884, 1590327, 1760886, 1760888, 1760890, 1756778, 1760891, 1760892, 1760893, 6092, 1760898, 1760899, 1015829, 43373, 62105, 1760900, 1394333, 16851, 1480144, 1429470, 1371439]"
767,Harry Potter and the Half-Blood Prince,"[10980, 10989, 10990, 10993, 5658, 388, 1283, 1923, 10978, 4566, 9191, 11207, 477, 96841, 140367, 10991, 140368, 96851, 20999, 11184, 3300, 234933, 60348, 10988, 15737, 234934, 11180, 964834, 1114487, 9138, 234926, 234925, 174398, 234922, 234929, 11212, 956224, 234928, 234924, 234927, 234923, 1796454, 568374, 52888, 234930, 202032, 568378, 234919, 89387]","[10980, 10989, 10990, 10993, 5658, 388, 1283, 1923, 10978, 4566, 9191, 11207, 477, 96841, 140367, 10991, 140368, 96851, 20999, 11184, 3300, 234933, 60348, 10988, 15737, 234934, 11180, 964834, 1114487, 9138, 234926, 234925, 174398, 234922, 234929, 11212, 956224, 234928, 234924, 234927, 234923, 1796454, 568374, 52888, 234930, 202032, 568378, 234919, 89387]"
209112,Batman v Superman: Dawn of Justice,"[880, 73968, 90633, 9273, 44735, 2882, 16940, 2975, 18686, 59233, 208296, 1156024, 20089, 1511243, 62220, 87447, 56556, 1106260, 1190987, 1272969, 9464, 1272970, 1622651, 91403, 1269, 132157, 17178, 335, 70177, 1018992, 1236584, 550307, 12219, 1227867, 1696036, 1596937, 1514160, 1217309, 1696037, 17832, 117642, 3977, 1313559, 1636956, 1377087, 47296, 19300, 1467216, 1691930, 1471446, 1691935, 1691940, 1691945, 1691946, 1691967, 1682540, 1691970, 1395056, 1648751, 1691971, 156405, 134774, 1561391, 1141368, 1561419, 74312, 1691981, 53066, 79086, 1494289, 1691982, 1691983, 1691986, 1691987, 1395050, 1692027, 1692036, 1214961, 1692048, 146413, 1692050, 165293, 1695971, 146412, 1695987, 1695988, 1695990, 1695991, 1289444, 1695992, 1561416, 1696013, 1201979, 1696018, 1452211, 1696019, 853194, 1334323, 1685460, 1696038, 1545503, 1007391, 1505007, 1696221, 1390506, 1696222, 1696223, 1189226, 1696226, 1077782, 130081, 1696230, 1374130, 104195, 1696231, 1000800, 1696234, 1696241, 1548735, 1147413, 1424325, 1696264, 1696251, 1696236, 1696238, 162169, 8666, 1696268, 1696262, 1393349, 76674, 639817, 1561376, 1188194, 1636801, 1645569, 74595, 87220, 204261, 1019098, 1062375, 1031686, 1574911, 1597947, 1675748, 1729054, 1729055, 87443, 1594986, 1283943, 99166, 1892479]","[880, 73968, 90633, 9273, 44735, 2882, 16940, 2975, 18686, 59233, 208296, 1156024, 20089, 1511243, 62220, 87447, 56556, 1106260, 1190987, 1272969, 9464, 1272970, 1622651, 91403, 1269, 132157, 17178, 335, 70177, 1018992, 1236584, 550307, 12219, 1227867, 1696036, 1596937, 1514160, 1217309, 1696037, 17832, 117642, 3977, 1313559, 1636956, 1377087, 47296, 19300, 1467216, 1691930, 1471446, 1691935, 1691940, 1691945, 1691946, 1691967, 1682540, 1691970, 1395056, 1648751, 1691971, 156405, 134774, 1561391, 1141368, 1561419, 74312, 1691981, 53066, 79086, 1494289, 1691982, 1691983, 1691986, 1691987, 1395050, 1692027, 1692036, 1214961, 1692048, 146413, 1692050, 165293, 1695971, 146412, 1695987, 1695988, 1695990, 1695991, 1289444, 1695992, 1561416, 1696013, 1201979, 1696018, 1452211, 1696019, 853194, 1334323, 1685460, 1696038, 1545503, 1007391, 1505007, 1696221, 1390506, 1696222, 1696223, 1189226, 1696226, 1077782, 130081, 1696230, 1374130, 104195, 1696231, 1000800, 1696234, 1696241, 1548735, 1147413, 1424325, 1696264, 1696251, 1696236, 1696238, 162169, 8666, 1696268, 1696262, 1393349, 76674, 639817, 1561376, 1188194, 1636801, 1645569, 74595, 87220, 204261, 1019098, 1062375, 1031686, 1574911, 1597947, 1675748, 1729054, 1729055, 87443, 1594986, 1283943, 99166, 1892479]"
